ID,Severidad,Equipo,Problema,Evidencia,Impacto,Causa_probable,Recomendacion,Cambio_requerido,Ventana_mantenimiento,Rollback_necesario
WIFI-001,ALTA,FortiAP 2.4 GHz,"Co-channel interference: 3 AP en canal 6 y 2 AP en canal 1, todos a ~27 dBm","Radios oper_chan: 11,6,6,6,1,1; txpower=100; oper_txpower 27 dBm; util 18-38% en 2.4","Colisiones, retries, desconexiones en 2.4; airtime saturado aunque clientes sean pocos",Plan de canales automático deficiente + potencia máxima + DARRP disable en perfiles 221E,Plan 1/6/11 único por piso; bajar potencia 2.4. NO implementar aún,SI,SI,SI
WIFI-002,ALTA,FortiAP todas las radios,Potencia TX 100% / 27-29 dBm; auto-power disable; sticky-client-remove disable,wtp-profile FORALL y FAP221E-default power-level=100; frequency-handoff=disable; ap-handoff=disable,Celdas demasiado grandes; sticky clients; CCI 5 GHz también,Perfiles dejados en máximo,Bajar 2.4 a 10-14 dBm y 5 GHz según survey; activar handoff. NO implementar aún,SI,SI,SI
WIFI-003,ALTA,SSIDs LaSociedad / LS / Guest,Roaming incompleto: 11r/FT disable; 11k neighbor-report disable; 11v voice-enterprise disable; 0 clientes 11r-capable usados,vap: fast-bss-transition=disable; neighbor-report-dual-band=disable; voice-enterprise=disable; clientes 11k=7/80 11v=9/80 11r=0/80,Desconexiones al moverse; reautenticación WPA2 PSK completa,OKC enable pero FT/11k/11v no,Habilitar 11k/v (11r con precaución en PSK). NO implementar aún,SI,SI,SI
WIFI-004,ALTA,wireless-controller setting,País RF configurado US en sitio República Dominicana,setting.country=US; health country_code poor en APs default; canales DFS 120-128 usados (ch 124),Canales/potencia ilegales o inadecuados; DFS/radar provoca cambios de canal y caídas,Perfil dejado en US,Cambiar country a DO y replanificar canales. Requiere ventana. NO implementar aún,SI,SI,SI
WIFI-005,MEDIA,FortiAP 5 GHz,"Uso de canales DFS (124, 132) con country US",oper_chan 124 (AAH) y 132 (ACV),"Si hay radar: radio cambia de canal, clientes se caen (síntoma de intermitencia)",Lista de canales incluye DFS; DARRP disable en 221E,Excluir DFS o aceptar el riesgo. NO implementar aún,SI,SI,SI
WIFI-006,MEDIA,Perfil FAP221E-default,"Banda 2.4 en 802.11n,g-only (protección legacy)","radio-1 band=802.11n,g-only en FAP221E-default; 3 AP usan ese perfil",Airtime 2.4 reducido por protection frames 802.11g,Perfil default no endurecido,Pasar a 802.11n (o ax si hubiera). NO implementar aún,SI,SI,SI
WIFI-007,MEDIA,FortiAP,Perfiles mezclados FORALL vs FAP221E-default; un AP con override de canal/potencia,"3 AP FORALL, 3 AP FAP221E-default, 1 discovered; AAH override_channel/txpower true",Comportamiento RF inconsistente entre pisos,Cambios puntuales sin estandarizar,Unificar perfil. NO implementar aún,SI,NO,SI
WIFI-008,MEDIA,FP221ETF22078983 Piso 1,Saturación relativa: 31 clientes (29 en 5 GHz ch 165) vs 2-16 en otros AP,managed_ap clients=31; peak 5G 24h hasta 116 en el sistema,Esa zona percibe Wi-Fi lento; airtime 5 GHz compartido,Cobertura/dirección de antena o sticky hacia ese AP,Revisar ubicación; activar load-balance. NO implementar aún,SI,SI,SI
WIFI-009,MEDIA,Clientes Wi-Fi,12.5% clientes con RSSI malo/crítico (10/80); sticky evidente (RSSI -87 dBm SNR 8),"Buckets: 23 Excelente, 35 Bueno, 12 Aceptable, 9 Malo, 1 Crítico; cliente 2e:ca:5e:93:f2:9d -87 dBm en AAH ch124","Throughput bajo, drops, apps que se cuelgan",Potencia alta + sin sticky removal + roaming débil,sticky-client-remove y recorte de potencia. NO implementar aún,SI,SI,SI
WIFI-010,MEDIA,WTP profiles,"Detección de interferencia/rogue inútil: interfering_ap=0, rogue_ap=0, bgscan/detect_interfering false, channel-utilization disable en varios perfiles",monitor/wifi/interfering_ap count=0; radio.detect_interfering=false; radio.background_scan_enabled=false,El GUI muestra health 'good' pese a CCI real,Scans deshabilitados,Habilitar background scan (impacto RF menor). NO implementar aún,SI,SI,SI
WIFI-011,MEDIA,FortiAP radios 2.4,mac_errors_tx en millones; tx_discard 1-4% en varios 2.4,mac_errors_tx 0.8M-2.1M por radio 2.4; disc 1-4%,Evidencia de medio RF sucio (colisiones/interferencia) no de cable de AP (uplink 1G 0 errores),CCI + potencia + legado g,Corregir RF (WIFI-001/002/006). NO implementar aún,SI,SI,SI
WIFI-012,MEDIA,Todos los FAP-221E,Rejoin CAPWAP simultáneo 2026-09-04 07:49; last_reboot 2026-07-23,join_time 09/04/26 07:49 en 6/6 AP online,Evento de controlador/FortiLink que tiró CAPWAP; coincide con queja de cortes,Caída FortiGate/FortiLink o upgrade; logs de evento NO VERIFICADOS (API log 404),Investigar evento 4-sep; logs no disponibles vía API,NO,NO,NO
WIFI-013,BAJA,AP placeholder FP221E,AP en discovered/disconnected MAC 00:00:00:00:00:00,status=connecting state=discovered,Ruido operacional; no sirve clientes,AP dado de alta incompleto o fantasma,Autorizar o borrar objeto. NO implementar aún,SI,NO,NO
NET-001,ALTA,FortiLink,Agregado FortiLink degradado: solo port14 UP 1G; port11 DOWN,cmdb fortilink members port11+port14; monitor port14 link=true 1000; port11 link=false,SPOF en el uplink de todos los AP/switch; congestión hacia el FortiGate,Cable/SFP/negociación del segundo miembro FortiLink,Verificar port11 (capa física) y restaurar LAG. Requiere ventana,SI,SI,SI
NET-002,ALTA,FortiSwitch ISL/uplinks,rx-drops millonarios en uplinks port23 de access switches,FS224D3Z14002019 port23 rx-drops=2022608; FS224D3Z14001698 port23 rx-drops=1436738; crc-alignments=0,Pérdida de paquetes LAN que el usuario siente como Wi-Fi malo (túnel Wi-Fi pasa por esos uplinks),FortiLink de 1 Gbps único + burst de túnel Wi-Fi + posible oversubscription,Restaurar segundo FortiLink; revisar QoS/buffers. NO implementar aún,SI,SI,SI
NET-003,MEDIA,FortiSwitch 224D,Múltiples puertos de acceso a 100 Mbps full (no son los AP),"Varios port4-15 a speed=100 en 14002019, 14001687, 14001698, 14000932",PCs/teléfonos lentos; no explica Wi-Fi de AP (AP están a 1000),Cable Cat5/negociación/dispositivo 100M,Recablear o forzar auto. NO implementar aún,SI,SI,NO
NET-004,ALTA,FortiSwitch FS224D-POE,Firmware 3.6.11 build0432 (2019-11-08) frente a FortiOS 7.0.15 y un 424E en 7.4.2,"os_version FS224D-v3.6.11-build432,191108; S424EN-v7.4.2-build801","Bugs CAPWAP/FortiLink, PoE, loops; incompatibilidad de tren de firmware",Switches no actualizados en años,Plan de upgrade alineado a matriz Fortinet. NO actualizar ahora,SI,SI,SI
NET-005,MEDIA,FS224D3Z15000948,Switch en Idle/offline,state=Idle os_version vacío join_time vacío,Falta de un switch de piso; hueco de cobertura/PoE,"Equipo apagado, PoE, o enlace FortiLink caído",Localizar físicamente. NO implementar aún,SI,SI,NO
NET-006,MEDIA,FortiAP wired,dropped_rx ~1.56e6 en lan1 de 5/6 AP (Piso1 solo 1 drop),wired.lan1 dropped_rx ≈1560000; errors_rx=0; link 1000 full,Descartes en AP hacia red; puede correlacionar con NET-002,Burst/buffer en camino FortiLink,Resolver FortiLink/uplinks primero,SI,SI,SI
DHCP-001,MEDIA,DHCP Empleados/Invitados,Lease 7 días; 181 leases en Empleados (rango 245); 88 en Guest,lease-time=604800; leases Empleados=181 Invitados=88; pico Wi-Fi 5G 24h=116,Agotamiento de IPs por leases zombis -> falla al asociar (parece desconexión Wi-Fi),Lease demasiado largo para móviles,Bajar lease a 4-8h. NO implementar aún,SI,NO,SI
DHCP-002,MEDIA,DHCP Wi-Fi,Clientes reciben solo 8.8.8.8 (sin secundario); DNS FortiGate es FortiGuard DoT,dns-service=specify dns-server1=8.8.8.8 dns-server2=0.0.0.0 en Gerencia/Empleados/Invitados/Vlan30,"Si wan1 (mala) enruta hacia 8.8.8.8, la web 'no carga' aunque el AP esté bien",DNS público único + SD-WAN 50/50,DNS local FortiGate o 8.8.8.8+1.1.1.1 y SLA. NO implementar aún,SI,NO,SI
SYS-001,ALTA,FortiGate 100E,Sin disco de logs; APIs log/memory y log/disk = 404,log_disk_status=not_available; GET log/memory/event 404; log/disk/event 404,"No hay evidencia histórica de DFS, AP down, DHCP fail para correlacionar cortes",Plataforma 100E sin disk logging / FortiAnalyzer no licenciado,FortiAnalyzer Cloud o syslog externo. NO implementar aún,SI,NO,NO
SYS-002,MEDIA,FortiGate/FortiAP,FortiOS 7.0.15 Mature; FAP firmware 7.0-build0115 antiguo; 7.0 cerca de fin de ciclo frente a 7.4/7.6,firmware current v7.0.15 build632 maturity M; FP221E-v7.0-build0115,Bugs Wi-Fi conocidos en trenes viejos; matriz de compatibilidad desigual con FS 7.4.2,Deuda de actualización,Planificar upgrade tras backup y matriz. NO actualizar ahora,SI,SI,SI
SYS-003,INFORMATIVA,FortiGate,HA standalone; ha1/ha2 sin link,ha mode=standalone; ha-peer=[]; monitor ha1/ha2 link=false,Sin redundancia de firewall,No se compró/activó HA,Documentar riesgo de SPOF,NO,NO,NO
FW-001,MEDIA,firewall policy 47 EMPLEADOS-LLB,UTM enable pero av/ips vacíos; ssl-ssh-profile='Hola'; 27.5M hits,policy 47 utm=enable av= ips= app= web= ssl=Hola hits=27591369,Inspección SSL custom puede añadir latencia; UTM no aporta firmas (licencia vencida),Perfil SSL mal nombrado / UTM cosmético,Revisar perfil Hola; no esperar IPS. NO cambiar aún,SI,SI,SI
