Formulario,Tipo,Plantilla oficial encontrada,Fuente,DOCX generado,PDF generado,Campos detectados,Campos completados,Campos faltantes,Campos no mapeados,Formato preservado,Estado,Causa raíz,Falta plantilla,No es DOCX,Plantilla corrupta,Sin campos detectables,Requiere mapeo manual,Requiere OCR/conversión,Acción concreta
SNCC.D014,sncc_documento,SNCC_D014_Invitacion_Ofertas.docx,caché oficial DGCP/M365,sí,sí,14,9,4,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D016,sncc_documento,SNCC_D016_Respuesta_Oferentes.docx,caché oficial DGCP/M365,sí,sí,13,8,4,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D020,sncc_documento,SNCC_D020_Errores_u_Omisiones.docx,caché oficial DGCP/M365,sí,sí,12,8,3,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D027,sncc_documento,SNCC_D027_Orden_Compra.docx,caché oficial DGCP/M365,sí,sí,19,11,6,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D028,sncc_documento,SNCC_D028_Orden_Servicios.docx,caché oficial DGCP/M365,sí,sí,18,11,5,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D029,sncc_documento,SNCC_D029_Recepcion_Bienes.docx,caché oficial DGCP/M365,sí,sí,10,5,3,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D030,sncc_documento,SNCC_D030_Recepcion_Servicios.docx,caché oficial DGCP/M365,sí,sí,7,5,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D031,sncc_documento,SNCC_D031_Recepcion_Provisional_Obras.docx,caché oficial DGCP/M365,sí,sí,18,10,8,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D032,sncc_documento,SNCC_D032_Recepcion_Definitiva_Obra.docx,caché oficial DGCP/M365,sí,sí,21,12,9,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D038,sncc_documento,SNCC_D038_Garantia_GFC.docx,caché oficial DGCP/M365,sí,sí,4,3,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D041,sncc_documento,SNCC_D041_Devolución_GSO.docx,caché oficial DGCP/M365,sí,sí,11,6,3,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D043,consultoria,SNCC_D043_Experiencia_Consultor.docx,caché oficial DGCP/M365,sí,sí,3,2,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D044,consultoria,SNCC_D044_Enfoque_y_Metodologia.docx,caché oficial DGCP/M365,sí,sí,3,2,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D045,consultoria,SNCC_D045_Curriculo_Personal.docx,caché oficial DGCP/M365,sí,sí,3,2,1,6,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D048,consultoria,SNCC_D048_Experiencia_Profesional_Personal.docx,caché oficial DGCP/M365,sí,sí,4,3,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D049,consultoria,SNCC_D049_Experiencia_contratista.docx,caché oficial DGCP/M365,sí,sí,5,3,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D051,sncc_documento,SNCC_D051_Designacion_Agente.docx,caché oficial DGCP/M365,sí,sí,4,3,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D052,sncc_documento,SNCC_D052_Aceptacion_Agente.docx,caché oficial DGCP/M365,sí,sí,4,3,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.D054,sncc_documento,SNCC_D054_Invitación_a_presentar_Ofertas_Procedimiento_de_Urgencia.docx,caché oficial DGCP/M365,sí,sí,14,9,4,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F009,sncc_formulario,SNCC_F009_Convocatoria_a_LPN.docx,caché oficial DGCP/M365,sí,sí,16,11,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F010,sncc_formulario,SNCC_F010_Convocatoria_LPI.docx,caché oficial DGCP/M365,sí,sí,16,11,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F011,sncc_formulario,SNCC_F011_Convocatoria_LR.docx,caché oficial DGCP/M365,sí,sí,16,11,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F012,sncc_formulario,SNCC_F012_Convocatoria_CP.docx,caché oficial DGCP/M365,sí,sí,17,11,4,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F013,sncc_formulario,SNCC_F013_Convocatoria_CM.docx,caché oficial DGCP/M365,sí,sí,16,10,4,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F015,sncc_formulario,SNCC_F015_Interesados.docx,caché oficial DGCP/M365,sí,sí,8,5,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F017,sncc_formulario,SNCC_F017_Aclaraciones.docx,caché oficial DGCP/M365,sí,sí,8,5,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F018,sncc_formulario,SNCC_F018_Adendas_Enmiendas.docx,caché oficial DGCP/M365,sí,sí,7,5,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F019,sncc_formulario,SNCC_F019_Participantes.docx,caché oficial DGCP/M365,sí,sí,10,6,3,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F021,sncc_formulario,SNCC_F021_Estudio_de_Precios.docx,caché oficial DGCP/M365,sí,sí,9,6,2,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F022,sncc_formulario,SNCC_F022_Lugares_Ocupados.docx,caché oficial DGCP/M365,sí,sí,10,6,3,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F035,oferta_tecnica,SNCC_F035_Soporte_Tecnico.docx,caché oficial DGCP/M365,sí,sí,4,3,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F036,sncc_formulario,SNCC_F036_Equipos_Oferente.docx,caché oficial DGCP/M365,sí,sí,4,3,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F037,sncc_formulario,SNCC_F037_Personal_Oferente.docx,caché oficial DGCP/M365,sí,sí,4,3,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F046,sncc_formulario,SNCC_F046_Impugnaciones.docx,caché oficial DGCP/M365,sí,sí,7,5,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F050,sncc_formulario,SNCC_F050_Convocatoria_SO.docx,caché oficial DGCP/M365,sí,sí,16,11,1,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F055,sncc_formulario,SNCC_F055_Convocatoria_Procedimiento_Urgencia.docx,caché oficial DGCP/M365,sí,sí,16,10,4,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F061,sncc_formulario,SNCC_F061_Portada_Licitacion_Restringida.docx,caché oficial DGCP/M365,sí,sí,3,2,0,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,sí,no,Opcional: mapear aliases no críticos en UI.
SNCC.F062,sncc_formulario,SNCC_F062_Portada_Sorteo_de_Obras.docx,caché oficial DGCP/M365,sí,sí,3,2,0,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,sí,no,Opcional: mapear aliases no críticos en UI.
SNCC.F063,sncc_formulario,SNCC_F063_Portada_Comparacion_de_Precios.docx,caché oficial DGCP/M365,sí,sí,3,2,0,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,sí,no,Opcional: mapear aliases no críticos en UI.
SNCC.F064,sncc_formulario,SNCC_F064_Portada_Compra_Menor.docx,caché oficial DGCP/M365,sí,sí,3,2,0,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,sí,no,Opcional: mapear aliases no críticos en UI.
SNCC.F065,sncc_formulario,SNCC_F065_Portada_Compra_Directa.docx,caché oficial DGCP/M365,sí,sí,3,2,0,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,sí,no,Opcional: mapear aliases no críticos en UI.
SNCC.F056,sncc_formulario,SNCC_F_056_Formulario_de_Entrega_de_Muestras.docx,caché oficial DGCP/M365,sí,sí,4,3,1,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F057,sncc_formulario,SNCC_F_057_Informe_de_Homologación_de_Muestras.docx,caché oficial DGCP/M365,sí,sí,7,4,3,4,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,no,no,Opcional: completar campos no críticos pendientes.
SNCC.F060,sncc_formulario,SNCC_F_060_Portada_Expediente_administrativo_Licitacion_Publica.docx,caché oficial DGCP/M365,sí,sí,3,2,0,2,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,sí,no,Opcional: mapear aliases no críticos en UI.
PLANTILLA.SNCC_PCC_002_ACCESIBILIDAD_UNIVERSAL,general_dgcp,SNCC_PCC_002_Accesibilidad_Universal.docx,caché oficial DGCP/M365,sí,sí,4,4,0,1,sí,PASS,Plantilla oficial DOCX autollenada; PDF desde LibreOffice; formato intacto.,no,no,no,no,sí,no,Opcional: mapear aliases no críticos en UI.
SNCCP.PROV.F040,proveedor,Sin plantilla oficial,Sin plantilla oficial,no,no,0,0,0,0,no,FAIL,"Plantilla indexada en biblioteca pero bytes no disponibles: caché vacía, portal DGCP sin este archivo, SharePoint devuelve 401 (OAuth desconectado).",sí,no,no,no,no,no,"1) Reconectar OAuth M365 (fausto@justech.do). 2) Sincronizar repositorio Plantillas. 3) Ejecutar bootstrap_m365_template_cache. 4) Si no está en DGCP público, cargar manualmente a caché oficial."
SNCCP.PROV.F041,proveedor,Sin plantilla oficial,Sin plantilla oficial,no,no,0,0,0,0,no,FAIL,"Plantilla indexada en biblioteca pero bytes no disponibles: caché vacía, portal DGCP sin este archivo, SharePoint devuelve 401 (OAuth desconectado).",sí,no,no,no,no,no,"1) Reconectar OAuth M365 (fausto@justech.do). 2) Sincronizar repositorio Plantillas. 3) Ejecutar bootstrap_m365_template_cache. 4) Si no está en DGCP público, cargar manualmente a caché oficial."
CARTA.CARTA_COMPROMISO_2024_11X8_5,carta,Requiere plantilla DOCX editable,Sin plantilla oficial (PDF),no,no,0,0,0,0,no,FAIL,Plantilla indexada como PDF — el motor requiere DOCX oficial editable. No se descargó bytes (OAuth M365 desconectado; no hay caché local).,sí,sí,no,no,no,sí,1) Obtener versión DOCX oficial o convertir manualmente a DOCX editable. 2) Subir a biblioteca M365 / ejecutar bootstrap con OAuth. 3) Re-ejecutar autollenado.
PLANTILLA.DATOS_PARA_EL_LLENADO_DE_FORMULARIOS,datos_empresa,Sin plantilla oficial,Sin plantilla oficial,no,no,0,0,0,0,no,FAIL,"Plantilla indexada en biblioteca pero bytes no disponibles: caché vacía, portal DGCP sin este archivo, SharePoint devuelve 401 (OAuth desconectado).",sí,no,no,no,no,no,"1) Reconectar OAuth M365 (fausto@justech.do). 2) Sincronizar repositorio Plantillas. 3) Ejecutar bootstrap_m365_template_cache. 4) Si no está en DGCP público, cargar manualmente a caché oficial."
CARTA.CARTA_COMPROMISO,carta,Sin plantilla oficial,Sin plantilla oficial,no,no,0,0,0,0,no,FAIL,"Plantilla indexada en biblioteca pero bytes no disponibles: caché vacía, portal DGCP sin este archivo, SharePoint devuelve 401 (OAuth desconectado).",sí,no,no,no,no,no,"1) Reconectar OAuth M365 (fausto@justech.do). 2) Sincronizar repositorio Plantillas. 3) Ejecutar bootstrap_m365_template_cache. 4) Si no está en DGCP público, cargar manualmente a caché oficial."
PLANTILLA.FORMULARIO_RED_PDF,administrativo,Requiere plantilla DOCX editable,Sin plantilla oficial (PDF),no,no,0,0,0,0,no,FAIL,Plantilla indexada como PDF — el motor requiere DOCX oficial editable. No se descargó bytes (OAuth M365 desconectado; no hay caché local).,sí,sí,no,no,no,sí,1) Obtener versión DOCX oficial o convertir manualmente a DOCX editable. 2) Subir a biblioteca M365 / ejecutar bootstrap con OAuth. 3) Re-ejecutar autollenado.
